Wall time,Step,Value
1744048518.436878,0,1.0
1744048518.7876294,1,1.0
1744048518.9427238,2,1.0
1744048519.1939242,3,0.9135172367095947
1744048519.3767633,4,0.8261685967445374
1744048519.5650377,5,0.7471721172332764
1744048519.7396438,6,0.6757290363311768
1744048519.9160297,7,0.6111172437667847
1744048520.0942037,8,0.5526834726333618
1744048520.274626,9,0.4998370409011841
1744048520.4549875,10,0.45204365253448486
1744048520.6609046,11,0.40882018208503723
1744048520.8398488,12,0.3697296380996704
1744048521.0351973,13,0.33437687158584595
1744048521.2052703,14,0.3024044334888458
1744048521.3794074,15,0.2734891474246979
1744048521.5547342,16,0.2473386824131012
1744048521.7260041,17,0.22368867695331573
1744048521.9126983,18,0.202300027012825
1744048522.0849507,19,0.1829565167427063
1744048522.2719986,20,0.16546259820461273
1744048522.4581466,21,0.14964140951633453
1744048522.6377232,22,0.13533300161361694
1744048522.815815,23,0.12239274382591248
1744048522.9933262,24,0.11068980395793915
1744048523.1671374,25,0.10010587424039841
1744048523.347456,26,0.09910481423139572
1744048523.5180466,27,0.09910481423139572
1744048523.693446,28,0.09910481423139572
1744048523.872718,29,0.09910481423139572
1744048524.0542371,30,0.09910481423139572
1744048524.226215,31,0.09910481423139572
1744048524.4141734,32,0.09910481423139572
1744048524.57964,33,0.09910481423139572
1744048524.7551253,34,0.09910481423139572
1744048524.938668,35,0.09910481423139572
1744048525.1260085,36,0.09910481423139572
1744048525.306069,37,0.09910481423139572
1744048525.4831526,38,0.09910481423139572
1744048525.663916,39,0.09910481423139572
1744048525.8406718,40,0.09910481423139572
1744048526.0234141,41,0.09910481423139572
1744048526.1900802,42,0.09910481423139572
1744048526.3578038,43,0.09910481423139572
1744048526.5313973,44,0.09910481423139572
1744048526.702084,45,0.09910481423139572
1744048526.86415,46,0.09910481423139572
1744048527.0321445,47,0.09910481423139572
1744048527.1974168,48,0.09910481423139572
1744048527.363523,49,0.09910481423139572
1744048527.5363505,50,0.09910481423139572
1744048527.713879,51,0.09910481423139572
1744048527.8872721,52,0.09910481423139572
1744048528.060895,53,0.09910481423139572
1744048528.2321749,54,0.09910481423139572
1744048528.4120378,55,0.09910481423139572
1744048528.5881555,56,0.09910481423139572
1744048528.7584999,57,0.09910481423139572
1744048528.9238546,58,0.09910481423139572
1744048529.0923333,59,0.09910481423139572
1744048529.2629068,60,0.09910481423139572
1744048529.4325953,61,0.09910481423139572
1744048529.6006417,62,0.09910481423139572
1744048529.7733073,63,0.09910481423139572
1744048529.9437826,64,0.09910481423139572
1744048530.11779,65,0.09910481423139572
1744048530.2872624,66,0.09910481423139572
1744048530.4552133,67,0.09910481423139572
1744048530.6277158,68,0.09910481423139572
1744048530.7936628,69,0.09910481423139572
1744048530.9622715,70,0.09910481423139572
1744048531.1375709,71,0.09910481423139572
1744048531.3148065,72,0.09910481423139572
1744048531.489421,73,0.09910481423139572
1744048531.661466,74,0.09910481423139572
1744048531.8362954,75,0.09910481423139572
1744048532.0071437,76,0.09910481423139572
1744048532.1731174,77,0.09910481423139572
1744048532.344218,78,0.09910481423139572
1744048532.511402,79,0.09910481423139572
1744048532.688464,80,0.09910481423139572
1744048532.8640177,81,0.09910481423139572
1744048533.037352,82,0.09910481423139572
1744048533.203286,83,0.09910481423139572
1744048533.365039,84,0.09910481423139572
1744048533.5281546,85,0.09910481423139572
1744048533.694405,86,0.09910481423139572
1744048533.8605914,87,0.09910481423139572
1744048534.0267782,88,0.09910481423139572
1744048534.1865005,89,0.09910481423139572
1744048534.3498037,90,0.09910481423139572
1744048534.5128865,91,0.09910481423139572
1744048534.6706393,92,0.09910481423139572
1744048534.8348963,93,0.09910481423139572
1744048535.0135088,94,0.09910481423139572
1744048535.1790888,95,0.09910481423139572
1744048535.3442867,96,0.09910481423139572
1744048535.5094366,97,0.09910481423139572
1744048535.6740184,98,0.09910481423139572
1744048535.8428912,99,0.09910481423139572
