Wall time,Step,Value
1744048518.436878,0,0.0
1744048518.7876294,1,0.0
1744048518.9427238,2,0.0
1744048519.1939242,3,7.981967449188232
1744048519.3767633,4,5.360605716705322
1744048519.5650377,5,3.182738780975342
1744048519.7396438,6,2.1688852310180664
1744048519.9160297,7,2.6955106258392334
1744048520.0942037,8,2.6627249717712402
1744048520.274626,9,1.9854669570922852
1744048520.4549875,10,1.246300458908081
1744048520.6609046,11,0.8707719445228577
1744048520.8398488,12,1.0539604425430298
1744048521.0351973,13,2.56375789642334
1744048521.2052703,14,2.1819653511047363
1744048521.3794074,15,2.5619046688079834
1744048521.5547342,16,1.425672173500061
1744048521.7260041,17,0.6873814463615417
1744048521.9126983,18,0.6835759878158569
1744048522.0849507,19,0.9160886406898499
1744048522.2719986,20,1.8013861179351807
1744048522.4581466,21,3.300161838531494
1744048522.6377232,22,2.5128285884857178
1744048522.815815,23,1.352576732635498
1744048522.9933262,24,1.2759298086166382
1744048523.1671374,25,0.8101221323013306
1744048523.347456,26,1.0501421689987183
1744048523.5180466,27,1.5877859592437744
1744048523.693446,28,2.1374640464782715
1744048523.872718,29,1.7317373752593994
1744048524.0542371,30,1.0497909784317017
1744048524.226215,31,1.0078965425491333
1744048524.4141734,32,0.8974746465682983
1744048524.57964,33,1.1785968542099
1744048524.7551253,34,0.9937038421630859
1744048524.938668,35,0.7906904220581055
1744048525.1260085,36,0.8221800327301025
1744048525.306069,37,0.9148121476173401
1744048525.4831526,38,0.7704449892044067
1744048525.662915,39,0.851108729839325
1744048525.8406718,40,0.5807688236236572
1744048526.0234141,41,0.7551265358924866
1744048526.1900802,42,0.9127233028411865
1744048526.3578038,43,0.6598929762840271
1744048526.5313973,44,0.6987426280975342
1744048526.702084,45,0.7062203884124756
1744048526.86415,46,0.8341337442398071
1744048527.0321445,47,0.897527813911438
1744048527.1974168,48,0.8363523483276367
1744048527.363523,49,0.572223961353302
1744048527.5363505,50,0.6913087368011475
1744048527.713879,51,0.9878754019737244
1744048527.8872721,52,0.9843869209289551
1744048528.060895,53,0.6490311622619629
1744048528.2321749,54,0.7357504367828369
1744048528.4120378,55,0.4626975357532501
1744048528.5881555,56,0.5698611736297607
1744048528.7584999,57,0.8476737141609192
1744048528.9238546,58,1.5265967845916748
1744048529.0923333,59,1.0978999137878418
1744048529.2629068,60,0.7478579878807068
1744048529.4325953,61,0.5817259550094604
1744048529.6006417,62,0.5847481489181519
1744048529.7733073,63,0.8370936512947083
1744048529.9437826,64,1.1982272863388062
1744048530.11779,65,0.9471731781959534
1744048530.2872624,66,0.9200832843780518
1744048530.4552133,67,0.5329941511154175
1744048530.6277158,68,0.5895067453384399
1744048530.7936628,69,0.9261625409126282
1744048530.9622715,70,1.364107370376587
1744048531.1375709,71,1.1620604991912842
1744048531.3148065,72,1.341386079788208
1744048531.489421,73,0.5933855175971985
1744048531.661466,74,0.5502970218658447
1744048531.8362954,75,0.6619319319725037
1744048532.0071437,76,0.9307911992073059
1744048532.1731174,77,0.8899660110473633
1744048532.344218,78,0.7253125309944153
1744048532.511402,79,0.6273096799850464
1744048532.688464,80,0.6778057813644409
1744048532.8640177,81,0.624729573726654
1744048533.037352,82,0.7820349931716919
1744048533.203286,83,0.7503865361213684
1744048533.365039,84,0.7951618432998657
1744048533.5281546,85,0.7055451273918152
1744048533.694405,86,0.4942314028739929
1744048533.8605914,87,0.4193325638771057
1744048534.0267782,88,0.4468323290348053
1744048534.1865005,89,0.7350718975067139
1744048534.3498037,90,0.957968533039093
1744048534.5128865,91,0.6349130868911743
1744048534.6706393,92,0.6156947016716003
1744048534.8348963,93,0.5187700986862183
1744048535.0135088,94,0.6820670366287231
1744048535.1790888,95,0.8118874430656433
1744048535.3442867,96,0.6189669370651245
1744048535.5094366,97,0.48315858840942383
1744048535.6740184,98,0.4301685690879822
1744048535.8428912,99,0.6169500350952148
